City ID,Country,City,Latitude,Longitude
1,DE,Dollerup,54.77798,9.67981
2,DE,Dobersdorf,54.31893,10.28011
3,DE,Dippach,50.91959,10.04236
4,DE,Dinkelsbuehl,49.06942,10.31985
5,DE,Dietenhofen,49.39997,10.68975
6,DE,Diespeck,49.6,10.63333
7,DE,Deinste,53.52903,9.44376
8,DE,Dehrn,50.42049,8.09846
9,DE,Dankerath,50.33333,6.81667
10,DE,Daiting,48.79177,10.90463
11,DE,Dackenheim,49.52111,8.18722
12,DE,Clausthal-Zellerfeld,51.80949,10.33821
13,DE,Bad Camberg,50.29695,8.26896
14,DE,Busdorf,54.10345,10.08242
15,DE,Burgthann,49.35202,11.31154
16,DE,Burg Stargard,53.49582,13.31122
17,DE,Budenbach,50.03333,7.56667
18,DE,Buckow,52.5661,14.07429
19,DE,Buchbrunn,49.75981,10.13686
20,DE,Bucha,50.88203,11.50933
21,DE,Breese,53,11.8
22,DE,Breddin,52.8856,12.22366
23,DE,Brake (Unterweser),53.33333,8.48333
24,DE,Bosenbach,49.54022,7.53029
25,DE,Bosel,53,7.95
26,DE,Borxleben,51.4,11.23333
27,DE,Borne,51.94881,11.55865
28,DE,Boehmfeld,48.86079,11.36794
29,DE,Bogenhausen,48.15221,11.61585
30,DE,Blankenfelde,52.61863,13.39057
31,DE,Blaibach,49.16667,12.81667
32,DE,Bissingen,48.71694,10.61766
33,DE,Birkenfeld,49.85861,9.69556
34,DE,Binau,49.36833,9.05806
35,DE,Berod bei Wallmerod,50.48333,7.93333
36,DE,Bergatreute,47.85,9.75
37,DE,Benz,53.91105,11.58528
38,DE,Bensheim,49.68369,8.61839
39,DE,Bellingen,50.6,7.9
40,DE,Beldorf,54.13333,9.35
41,DE,Beindersheim,49.56056,8.31944
42,DE,Bei der Hoehne,53.51351,9.11191
43,DE,Bedesbach,49.56849,7.45785
44,DE,Beckeln,52.86667,8.58333
45,DE,Beckdorf,53.41667,9.61667
46,DE,Bayerbach,48.41017,13.14411
47,DE,Barssel,53.16981,7.75012
48,DE,Barlt,54.01667,9.05
49,DE,Barkenholm,54.23333,9.18333
50,DE,Barchfeld,50.82872,11.17955
51,DE,Bahrenhof,53.88333,10.38333
52,DE,Bad Soden am Taunus,50.1408,8.50449
53,DE,Bad Muenstereifel,50.55667,6.76424
54,DE,Bad Duerkheim,49.4618,8.17236
55,DE,Ausleben,52.09049,11.11192
56,DE,Auerbach,48.80353,13.09952
57,DE,Attenhausen,50.29197,7.87557
58,DE,Arlewatt,54.53333,9.08333
59,DE,Amerang,47.99139,12.30795
60,DE,Alt Wallmoden,52.01933,10.30294
61,DE,Altenholz,54.4,10.13333
62,DE,Altenbeuthen,50.5919,11.60062
63,DE,Altenberge,52.05,7.46667
64,DE,Allenfeld,49.86667,7.66667
65,DE,Albertstadt,51.08333,13.76667
66,DE,Aichelberg,48.63557,9.56373
67,DE,Adendorf,53.28189,10.43787
68,DE,Adelschlag,48.84025,11.21913
69,DE,Adelheidsdorf,52.56404,10.06039
70,DE,Abbesbuettel,52.35233,10.55649
71,DE,Giesen,52.19716,9.8989
72,DE,Ruttersdorf-Lotschen,50.88333,11.73333
73,DE,Caan,50.46667,7.61667
74,DE,Neukamperfehn,53.33642,7.56189
75,DE,Reichenau,47.68885,9.06355
76,DE,Marktrodach,50.25,11.38333
77,DE,Ransbach-Baumbach,50.46496,7.7283
78,DE,Werdervorstadt,53.63909,11.42767
